FeEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
0.0661066,0.451036,0.214652,0.0448525,26437.7,32093.3,6768.63,0.0,0.0,0.0,0.0,0.0,0.0,2.32E-5,0.11458,65299.7,0.0,0.0,0.0,1.0,5.0024,0.0,0.0,6.69973,0.0,0.0,297.685,0.0,1.0,1496030.0,
0.0661066,0.451036,0.214652,0.0448525,26437.7,32093.3,6768.63,0.0,0.0,0.0,0.0,0.0,0.0,2.32E-5,0.11458,65299.7,0.0,0.0,0.0,1.0,5.0024,0.0,0.0,6.69973,0.0,0.0,297.685,0.0,101.0,1496030.0,
0.0661066,0.451036,0.214652,0.0448525,26437.7,32093.3,6768.63,0.0,0.0,0.0,0.0,0.0,0.0,2.32E-5,0.11458,65299.7,0.0,0.0,0.0,1.0,5.0024,0.0,0.0,6.69973,0.0,0.0,297.685,0.0,201.0,1496030.0,
0.0661066,0.451036,0.214652,0.0448525,26437.7,32093.3,6768.63,0.0,0.0,0.0,0.0,0.0,0.0,2.32E-5,0.11458,65299.7,0.0,0.0,0.0,1.0,5.0024,0.0,0.0,6.69973,0.0,0.0,297.685,0.0,301.0,1496030.0,
0.0661066,0.451036,0.214652,0.0448525,26437.7,32093.3,6768.63,0.0,0.0,0.0,0.0,0.0,0.0,2.32E-5,0.11458,65299.7,0.0,0.0,0.0,1.0,5.0024,0.0,0.0,6.69973,0.0,0.0,297.685,0.0,401.0,1496030.0,
0.0661066,0.451036,0.214652,0.0448525,26437.7,32093.3,6768.63,0.0,0.0,0.0,0.0,0.0,0.0,2.32E-5,0.11458,65299.7,0.0,0.0,0.0,1.0,5.0024,0.0,0.0,6.69973,0.0,0.0,297.685,0.0,501.0,1496030.0,
0.0661066,0.451036,0.214652,0.0448525,26437.7,32093.3,6768.63,0.0,0.0,0.0,0.0,0.0,0.0,2.32E-5,0.11458,65299.7,0.0,0.0,0.0,1.0,5.0024,0.0,0.0,6.69973,0.0,0.0,297.685,0.0,601.0,1496030.0,
0.0661066,0.451036,0.214652,0.0448525,26437.7,32093.3,6768.63,0.0,0.0,0.0,0.0,0.0,0.0,2.32E-5,0.11458,65299.7,0.0,0.0,0.0,1.0,5.0024,0.0,0.0,6.69973,0.0,0.0,297.685,0.0,701.0,1496030.0,
0.0661066,0.451036,0.214652,0.0448525,26437.7,32093.3,6768.63,0.0,0.0,0.0,0.0,0.0,0.0,2.32E-5,0.11458,65299.7,0.0,0.0,0.0,1.0,5.0024,0.0,0.0,6.69973,0.0,0.0,297.685,0.0,801.0,1496030.0,
0.0661066,0.451036,0.214652,0.0448525,26437.7,32093.3,6768.63,0.0,0.0,0.0,0.0,0.0,0.0,2.32E-5,0.11458,65299.7,0.0,0.0,0.0,1.0,5.0024,0.0,0.0,6.69973,0.0,0.0,297.685,0.0,901.0,1496030.0,
0.0661066,0.451036,0.214652,0.0448525,26437.7,32093.3,6768.63,0.0,0.0,0.0,0.0,0.0,0.0,2.32E-5,0.11458,65299.7,0.0,0.0,0.0,1.0,5.0024,0.0,0.0,6.69973,0.0,0.0,297.685,0.0,1001.0,1496030.0,
0.0661066,0.451036,0.214652,0.0448525,26437.7,32093.3,6768.63,0.0,0.0,0.0,0.0,0.0,0.0,2.32E-5,0.11458,65299.7,0.0,0.0,0.0,1.0,5.0024,0.0,0.0,6.69973,0.0,0.0,297.685,0.0,1101.0,1496030.0,
0.0661066,0.451036,0.214652,0.0448525,26437.7,32093.3,6768.63,0.0,0.0,0.0,0.0,0.0,0.0,2.32E-5,0.11458,65299.7,0.0,0.0,0.0,1.0,5.0024,0.0,0.0,6.69973,0.0,0.0,297.685,0.0,1201.0,1496030.0,
0.0661066,0.451036,0.214652,0.0448525,26437.7,32093.3,6768.63,0.0,0.0,0.0,0.0,0.0,0.0,2.32E-5,0.11458,65299.7,0.0,0.0,0.0,1.0,5.0024,0.0,0.0,6.69973,0.0,0.0,297.685,0.0,1301.0,1496030.0,
0.0661066,0.451036,0.214652,0.0448525,26437.7,32093.3,6768.63,0.0,0.0,0.0,0.0,0.0,0.0,2.32E-5,0.11458,65299.7,0.0,0.0,0.0,1.0,5.0024,0.0,0.0,6.69973,0.0,0.0,297.685,0.0,1401.0,1496030.0,
