FeEn,GLUT4En,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,7101.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,7201.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,7301.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,7401.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,7501.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,7601.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,7701.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,7801.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,7901.0,673979.0,
0.0,0.0,9.33762,0.0,0.169155,39647.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39647.9,0.0,0.0,0.0,1.0,3.01181E-21,0.0,0.0,7.38422,0.0,0.0,26.8244,0.0,8001.0,673979.0,
