R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,3.0,4.3E-6,0.0,0.0,0.0,37000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,3.0,3.4E-5,0.0,0.0,0.0,61000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,4.0,1.4E-4,0.0,0.0,0.0,84000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,8.0,3.7E-4,0.0,0.0,0.0,110000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,9.0,8.0E-4,0.0,0.0,0.0,120000.0,1.0,5.0E8,
2.1E-34,9.9,3199999.9999999995,86000.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.9,3299999.9999999995,110.0,0.77,0.77,0.0,14.0,0.012,0.0,0.0,0.0,170000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,8.7,0.22,0.22,0.0,16.0,0.0019,0.0,0.0,0.0,190000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,8.7,0.22,0.22,0.0,16.0,0.0049,0.0,0.0,0.0,220000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,8.7,0.22,0.22,0.0,17.0,0.011,0.0,0.0,0.0,260000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,8.6,0.22,0.22,0.0,17.0,0.024,0.0,0.0,0.0,290000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,8.6,0.22,0.22,0.0,19.0,0.048,0.0,0.0,0.0,320000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,8.5,0.22,0.22,0.0,19.0,0.088,0.0,0.0,0.0,350000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,8.4,0.22,0.22,0.0,21.0,0.16,0.0,0.0,0.0,390000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,8.3,0.22,0.22,0.0,21.0,0.26,0.0,0.0,0.0,420000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,8.2,0.22,0.22,0.0,21.0,0.42,0.0,0.0,0.0,450000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,8.3,0.22,0.22,0.0,21.0,0.32,0.0,1.1E-11,2.3E-21,430000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,8.3,0.22,0.22,0.0,21.0,0.33,0.0,2.6E-11,1.0E-20,430000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,8.2,0.22,0.22,0.0,21.0,0.39,0.0,4.4E-11,2.6E-20,450000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,8.1,0.22,0.22,0.0,21.0,0.52,0.0,6.6E-11,5.6E-20,470000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,7.9,0.22,0.22,0.0,21.0,0.72,0.0,9.1E-11,1.1E-19,490000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,7.6,0.22,0.22,0.0,21.0,1.0,0.0,1.2E-10,1.9E-19,520000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,7.2,0.22,0.22,0.0,21.0,1.4,0.0,1.5E-10,3.1E-19,550000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,6.8,0.22,0.22,0.0,21.0,1.8,0.0,1.8E-10,4.9E-19,580000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,7.1,0.22,0.22,0.0,21.0,1.5,0.0,2.2E-10,7.2E-19,560000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,7.4,0.22,0.22,0.0,21.0,1.2,0.0,2.7E-10,9.5E-19,530000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,7.5,0.22,0.22,0.0,21.0,1.1,0.0,3.2E-10,1.2E-18,530000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,7.3,0.22,0.22,0.0,21.0,1.3,0.0,3.8E-10,1.5E-18,540000.0,1.0,5.0E8,
1.6999999999999999E-35,0.78,2999999.9999999995,750.0,3500.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,7.1,0.22,0.22,0.0,21.0,1.5,0.0,4.5E-10,1.9E-18,560000.0,1.0,5.0E8,
3.9E-34,11.0,3099999.9999999995,82000.0,42000.0,79000.0,0.0,0.0,0.0,0.0,0.0,4.5,3299999.9999999995,100.0,1.9,1.9,0.0,35.0,24.0,0.0,1.0E-6,1.7E-12,570000.0,1.0,5.1E8,
6.5E-35,1.8,2999999.9999999995,3700.0,15000.0,79000.0,0.0,0.0,0.0,0.0,0.0,4.5,3099999.9999999995,23.0,0.58,0.58,0.0,35.0,4.6,0.0,1.0E-6,2.9E-13,550000.0,1.0,5.0E8,
4.2E-35,1.2,2999999.9999999995,3700.0,7000.0,79000.0,0.0,0.0,0.0,0.0,0.0,4.5,3099999.9999999995,15.0,0.49,0.49,0.0,36.0,2.5,0.0,1.0E-6,1.9E-13,540000.0,1.0,5.0E8,
4.2E-35,1.2,2999999.9999999995,3700.0,7000.0,79000.0,0.0,0.0,0.0,0.0,0.0,4.5,3099999.9999999995,15.0,0.49,0.49,0.0,36.0,2.7,0.0,1.0E-6,1.9E-13,550000.0,1.0,5.0E8,
4.2E-35,1.2,2999999.9999999995,3700.0,7000.0,79000.0,0.0,0.0,0.0,0.0,0.0,4.5,3099999.9999999995,14.0,0.49,0.49,0.0,36.0,3.3,0.0,1.0E-6,1.9E-13,570000.0,1.0,5.0E8,
4.2E-35,1.2,2999999.9999999995,3700.0,7000.0,79000.0,0.0,0.0,0.0,0.0,0.0,4.5,3099999.9999999995,13.0,0.49,0.49,0.0,36.0,4.3,0.0,1.0E-6,2.0E-13,600000.0,1.0,5.0E8,
4.2E-35,1.2,2999999.9999999995,3700.0,7000.0,79000.0,0.0,0.0,0.0,0.0,0.0,4.5,3099999.9999999995,11.0,0.49,0.49,0.0,36.0,6.0,0.0,1.0E-6,2.0E-13,640000.0,1.0,5.0E8,
5.3000000000000005E-34,17.0,3199999.9999999995,170000.0,18000.0,91000.0,0.0,0.0,0.0,0.0,10000.0,5.2,3499999.9999999995,160.0,2.7,2.7,0.0,40.0,8.0,0.0,2.2E-6,3.0E-10,680000.0,1.0,5.1E8,
1.6E-34,5.3,3099999.9999999995,56000.0,390.0,91000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3199999.9999999995,39.0,0.96,0.96,0.0,41.0,20.0,0.0,2.2E-6,9.2E-11,640000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,16.0,0.51,0.51,0.0,42.0,6.4,0.0,2.2E-6,1.0E-11,620000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,18.0,0.51,0.51,0.0,42.0,4.8,0.0,2.2E-6,1.0E-11,580000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,18.0,0.51,0.51,0.0,42.0,4.2,0.0,2.2E-6,1.0E-11,560000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,18.0,0.51,0.51,0.0,42.0,4.5,0.0,2.2E-6,1.0E-11,570000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,18.0,0.51,0.51,0.0,42.0,5.1,0.0,2.2E-6,1.0E-11,590000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,16.0,0.51,0.51,0.0,42.0,6.6,0.0,2.2E-6,1.0E-11,620000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,15.0,0.51,0.51,0.0,42.0,7.9,0.0,2.2E-6,1.0E-11,640000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,13.0,0.51,0.51,0.0,42.0,9.7,0.0,2.2E-6,1.0E-11,680000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,11.0,0.51,0.51,0.0,42.0,12.0,0.0,2.2E-6,1.0E-11,710000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,13.0,0.51,0.51,0.0,42.0,10.0,0.0,2.2E-6,1.0E-11,680000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,14.0,0.51,0.51,0.0,42.0,8.2,0.0,2.2E-6,1.0E-11,650000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,15.0,0.51,0.51,0.0,42.0,7.8,0.0,2.2E-6,1.0E-11,640000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,14.0,0.51,0.51,0.0,42.0,8.3,0.0,2.2E-6,1.0E-11,650000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,13.0,0.51,0.51,0.0,42.0,9.4,0.0,2.2E-6,1.0E-11,670000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,12.0,0.51,0.51,0.0,42.0,11.0,0.0,2.2E-6,1.0E-11,700000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,10.0,0.51,0.51,0.0,42.0,13.0,0.0,2.2E-6,1.0E-11,730000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,8.5,0.51,0.51,0.0,42.0,14.0,0.0,2.2E-6,1.0E-11,760000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,8.8,0.51,0.51,0.0,42.0,14.0,0.0,2.2E-6,1.0E-11,760000.0,1.0,5.0E8,
1.7999999999999998E-35,0.58,2999999.9999999995,3000.0,390.0,58000.0,0.0,0.0,0.0,0.0,2900.0,5.1,3099999.9999999995,12.0,0.51,0.51,0.0,42.0,11.0,0.0,2.2E-6,1.0E-11,700000.0,1.0,5.0E8,
1.0E-34,4.0,2999999.9999999995,26000.0,30000.0,110000.0,0.0,1100.0,1300.0,1700.0,4900.0,7.7,3199999.9999999995,25.0,1.3,1.3,0.0,75.0,75.0,0.0,9.8E-6,8.3E-10,750000.0,1.0,5.1E8,
1.8999999999999998E-35,0.74,2899999.9999999995,5700.0,2300.0,110000.0,0.0,1100.0,1300.0,1600.0,4900.0,7.6,3099999.9999999995,8.3,0.8,0.8,0.0,76.0,10.0,0.0,9.7E-6,1.6E-10,730000.0,1.0,5.0E8,
1.8999999999999998E-35,0.74,2899999.9999999995,5700.0,2300.0,110000.0,0.0,1100.0,1300.0,1600.0,4900.0,7.6,3099999.9999999995,9.1,0.8,0.8,0.0,76.0,9.2,0.0,9.7E-6,1.6E-10,710000.0,1.0,5.0E8,
1.8999999999999998E-35,0.74,2899999.9999999995,5700.0,2300.0,110000.0,0.0,1000.0,1300.0,1600.0,4900.0,7.6,3099999.9999999995,8.6,0.8,0.8,0.0,79.0,9.6,0.0,9.7E-6,1.5E-10,720000.0,1.0,5.0E8,
1.8999999999999998E-35,0.74,2899999.9999999995,5700.0,2300.0,110000.0,0.0,1000.0,1300.0,1600.0,4900.0,7.6,3099999.9999999995,7.4,0.8,0.8,0.0,79.0,11.0,0.0,9.7E-6,1.5E-10,750000.0,1.0,5.0E8,
1.8999999999999998E-35,0.74,2899999.9999999995,5700.0,2300.0,110000.0,0.0,1000.0,1300.0,1600.0,4900.0,7.6,3099999.9999999995,5.9,0.8,0.8,0.0,79.0,12.0,0.0,9.7E-6,1.5E-10,790000.0,1.0,5.0E8,
1.8999999999999998E-35,0.74,2899999.9999999995,5700.0,2300.0,110000.0,0.0,1000.0,1300.0,1600.0,4900.0,7.6,3099999.9999999995,4.5,0.8,0.8,0.0,79.0,14.0,0.0,9.7E-6,1.5E-10,840000.0,1.0,5.0E8,
1.8999999999999998E-35,0.74,2800000.0,150000.0,2300.0,110000.0,0.0,1000.0,1300.0,1600.0,4900.0,7.6,3099999.9999999995,3.3,0.8,0.8,0.0,79.0,15.0,0.0,9.7E-6,1.5E-10,890000.0,1.0,5.0E8,
1.8999999999999998E-35,0.74,2800000.0,150000.0,2300.0,110000.0,0.0,1000.0,1300.0,1600.0,4900.0,7.6,3099999.9999999995,2.3,0.8,0.8,0.0,79.0,16.0,0.0,9.7E-6,1.5E-10,940000.0,1.0,5.0E8,
1.8999999999999998E-35,0.74,2800000.0,150000.0,2300.0,110000.0,0.0,1000.0,1300.0,1600.0,4900.0,7.6,3099999.9999999995,1.7,0.8,0.8,0.0,79.0,17.0,0.0,9.7E-6,1.5E-10,999999.9999999999,1.0,5.0E8,
1.8999999999999998E-35,0.74,2800000.0,150000.0,2300.0,110000.0,0.0,1000.0,1300.0,1600.0,4900.0,7.6,3099999.9999999995,2.4,0.8,0.8,0.0,79.0,16.0,0.0,9.7E-6,1.5E-10,940000.0,1.0,5.0E8,
1.8999999999999998E-35,0.74,2800000.0,150000.0,2300.0,110000.0,0.0,1000.0,1300.0,1600.0,4900.0,7.6,3099999.9999999995,2.9,0.8,0.8,0.0,79.0,15.0,0.0,9.7E-6,1.5E-10,910000.0,1.0,5.0E8,
1.8999999999999998E-35,0.74,2800000.0,150000.0,2300.0,110000.0,0.0,1000.0,1300.0,1600.0,4900.0,7.6,3099999.9999999995,2.9,0.8,0.8,0.0,79.0,15.0,0.0,9.7E-6,1.5E-10,910000.0,1.0,5.0E8,
1.8999999999999998E-35,0.74,2800000.0,150000.0,2300.0,110000.0,0.0,1000.0,1300.0,1600.0,4900.0,7.6,3099999.9999999995,2.5,0.8,0.8,0.0,79.0,16.0,0.0,9.8E-6,1.5E-10,930000.0,1.0,5.0E8,
1.8999999999999998E-35,0.74,2800000.0,150000.0,2300.0,110000.0,0.0,1000.0,1300.0,1600.0,4900.0,7.6,3099999.9999999995,2.0,0.8,0.8,0.0,79.0,16.0,0.0,9.8E-6,1.5E-10,970000.0,1.0,5.0E8,
2.3E-34,11.0,2899999.9999999995,270000.0,28000.0,120000.0,0.0,1000.0,1300.0,1600.0,4900.0,7.8,3399999.9999999995,110.0,2.4,2.4,0.0,96.0,17.0,15.0,9.3E-5,6.5E-9,999999.9999999999,1.0,5.1E8,
1.4E-34,7.0,2800000.0,180000.0,620.0,120000.0,0.0,1000.0,1300.0,1600.0,4900.0,7.8,3199999.9999999995,13.0,1.6,1.6,0.0,97.0,13.0,14.0,9.3E-5,4.0E-9,960000.0,1.0,5.0E8,
1.3E-34,6.7,2800000.0,170000.0,620.0,120000.0,0.0,1000.0,1300.0,1600.0,4900.0,7.8,3099999.9999999995,4.7,1.6,1.6,0.0,99.0,21.0,14.0,9.3E-5,3.8E-9,890000.0,1.0,5.0E8,
1.3E-34,6.7,2800000.0,170000.0,610.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.8,3099999.9999999995,5.9,1.6,1.6,0.0,100.0,20.0,14.0,9.3E-5,3.8E-9,850000.0,1.0,5.0E8,
1.3E-34,6.7,2800000.0,170000.0,610.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.8,3099999.9999999995,6.0,1.6,1.6,0.0,100.0,20.0,14.0,9.3E-5,3.8E-9,850000.0,1.0,5.0E8,
1.3E-34,6.7,2800000.0,170000.0,610.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.8,3099999.9999999995,5.2,1.6,1.6,0.0,100.0,20.0,14.0,9.3E-5,3.8E-9,870000.0,1.0,5.0E8,
2.2E-34,11.0,2899999.9999999995,220000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3299999.9999999995,17.0,2.2,2.2,0.0,110.0,82.0,14.0,9.8E-5,7.3E-9,880000.0,1.0,5.1E8,
7.1E-35,3.6,2899999.9999999995,46000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,21.0,1.0,1.0,0.0,110.0,61.0,14.0,9.8E-5,2.4E-9,830000.0,1.0,5.0E8,
7.1E-35,3.6,2899999.9999999995,46000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,26.0,1.0,1.0,0.0,110.0,56.0,14.0,9.8E-5,2.4E-9,800000.0,1.0,5.0E8,
7.1E-35,3.6,2899999.9999999995,46000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,26.0,1.0,1.0,0.0,110.0,56.0,14.0,9.8E-5,2.4E-9,800000.0,1.0,5.0E8,
7.1E-35,3.6,2899999.9999999995,46000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,22.0,1.0,1.0,0.0,110.0,60.0,14.0,9.8E-5,2.4E-9,820000.0,1.0,5.0E8,
7.1E-35,3.6,2899999.9999999995,46000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,18.0,1.0,1.0,0.0,110.0,64.0,14.0,9.8E-5,2.4E-9,860000.0,1.0,5.0E8,
7.1E-35,3.6,2899999.9999999995,46000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,13.0,1.0,1.0,0.0,110.0,69.0,14.0,9.8E-5,2.4E-9,910000.0,1.0,5.0E8,
7.1E-35,3.6,2899999.9999999995,46000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,9.8,1.0,1.0,0.0,110.0,72.0,14.0,9.8E-5,2.4E-9,960000.0,1.0,5.0E8,
7.1E-35,3.6,2899999.9999999995,46000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,7.1,1.0,1.0,0.0,110.0,75.0,14.0,9.8E-5,2.4E-9,999999.9999999999,1.0,5.0E8,
7.1E-35,3.6,2899999.9999999995,46000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,5.1,1.0,1.0,0.0,110.0,77.0,14.0,9.8E-5,2.4E-9,1100000.0,1.0,5.0E8,
7.1E-35,3.6,2899999.9999999995,46000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,7.5,1.0,1.0,0.0,110.0,75.0,14.0,9.8E-5,2.4E-9,999999.9999999999,1.0,5.0E8,
7.1E-35,3.6,2899999.9999999995,46000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,9.5,1.0,1.0,0.0,110.0,73.0,14.0,9.8E-5,2.4E-9,960000.0,1.0,5.0E8,
7.1E-35,3.6,2700000.0,190000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,9.5,1.0,1.0,0.0,110.0,73.0,14.0,9.8E-5,2.4E-9,960000.0,1.0,5.0E8,
7.1E-35,3.6,2700000.0,190000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,8.3,1.0,1.0,0.0,110.0,74.0,14.0,9.8E-5,2.4E-9,990000.0,1.0,5.0E8,
7.1E-35,3.6,2700000.0,190000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,6.7,1.0,1.0,0.0,110.0,75.0,14.0,9.8E-5,2.4E-9,999999.9999999999,1.0,5.0E8,
7.1E-35,3.6,2600000.0,320000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,5.1,1.0,1.0,0.0,110.0,77.0,14.0,9.8E-5,2.4E-9,1100000.0,1.0,5.0E8,
7.1E-35,3.6,2600000.0,320000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,3.9,1.0,1.0,0.0,110.0,78.0,14.0,9.8E-5,2.4E-9,1100000.0,1.0,5.0E8,
7.1E-35,3.6,2600000.0,320000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,2.9,1.0,1.0,0.0,110.0,79.0,14.0,9.8E-5,2.3E-9,1200000.0,1.0,5.0E8,
7.1E-35,3.6,2600000.0,320000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,3.5,1.0,1.0,0.0,110.0,79.0,14.0,9.8E-5,2.3E-9,1100000.0,1.0,5.0E8,
7.1E-35,3.6,2600000.0,320000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,5.4,1.0,1.0,0.0,110.0,77.0,14.0,9.8E-5,2.3E-9,1100000.0,1.0,5.0E8,
7.1E-35,3.6,2600000.0,320000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,6.2,1.0,1.0,0.0,110.0,76.0,14.0,9.8E-5,2.3E-9,999999.9999999999,1.0,5.0E8,
7.1E-35,3.6,2600000.0,320000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,6.0,1.0,1.0,0.0,110.0,76.0,14.0,9.8E-5,2.3E-9,999999.9999999999,1.0,5.0E8,
7.1E-35,3.6,2600000.0,320000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,5.1,1.0,1.0,0.0,110.0,77.0,14.0,9.8E-5,2.3E-9,1100000.0,1.0,5.0E8,
7.1E-35,3.6,2600000.0,320000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,4.1,1.0,1.0,0.0,110.0,78.0,14.0,9.8E-5,2.3E-9,1100000.0,1.0,5.0E8,
7.1E-35,3.6,2600000.0,320000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,3.2,1.0,1.0,0.0,110.0,79.0,14.0,9.8E-5,2.3E-9,1200000.0,1.0,5.0E8,
7.1E-35,3.6,2600000.0,320000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,2.5,1.0,1.0,0.0,110.0,80.0,14.0,9.8E-5,2.3E-9,1200000.0,1.0,5.0E8,
7.1E-35,3.6,2600000.0,320000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,2.2,1.0,1.0,0.0,110.0,80.0,14.0,9.8E-5,2.3E-9,1200000.0,1.0,5.0E8,
7.1E-35,3.6,2600000.0,320000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,4.0,1.0,1.0,0.0,110.0,78.0,14.0,9.8E-5,2.3E-9,1100000.0,1.0,5.0E8,
7.1E-35,3.6,2600000.0,320000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,5.1,1.0,1.0,0.0,110.0,77.0,14.0,9.8E-5,2.3E-9,1100000.0,1.0,5.0E8,
7.1E-35,3.6,2600000.0,320000.0,34000.0,120000.0,0.0,1000.0,1300.0,1600.0,4800.0,7.9,3099999.9999999995,5.2,1.0,1.0,0.0,110.0,77.0,14.0,9.8E-5,2.3E-9,1100000.0,1.0,5.0E8,
